date,language,type,title,by,overall,quality,repeatability
2019-05-08,Telugu,movie,Vunnadhi Okate Zindagi,"Ram Pothineni, Aparna, Lavanya  Tripathi",3.0,3.0,1
2019-05-07,Telugu,movie,Jadoogadu,Naga Shaurya,3.0,3.0,1
2019-05-05,Telugu,movie,Okkadine,"Nara Rohit, Nithya Menen",3.0,3.0,1
2019-05-05,English,movie,Venom,Tom Hardy,3.0,3.0,1
2019-05-05,English,fiction,The Fox,Frederick Forsyth,3.0,3.0,1
2019-05-05,English,movie,Captain Marvel,Unknown,3.0,3.0,1
2019-05-04,Telugu,movie,Dhadha,"Naga Chaitanya, Kajal Agarwal",1.0,2.0,1
2019-05-01,Telugu,movie,Sailaja Reddy Alludu,"Naga Chaitanya, Anu Emmanuel",2.0,3.0,1
2019-05-01,Hindi,movie,Namastey London,"Akshay Kumar, Katrina Kaif",3.0,3.0,2
2019-04-30,Telugu,movie,Nannaku Prematho,"Jr NTR, Jagapathi Babu",4.0,4.0,2
2019-04-28,Malayalam,movie,Villain,"Mohanlal, Vishal, Rashi Khanna, Hansika",3.0,4.0,1
2019-04-27,Tamil,movie,Oru Melliya Kodu,"Arjun, Shaam, Manisha Koirala",3.0,3.0,1
2019-04-27,Tamil,movie,Malaikottai,"Vishal, Priya Mani",2.0,2.0,1
2019-04-20,Malayalam,movie,Bhaskar The Rascal,"Mammootty, Nayantara",3.0,3.0,1
2019-04-20,Telugu,movie,Jersey,Nani,3.0,4.0,1
2019-04-18,English,movie,Going in Style,"Michael Caine, Morgan Freeman",3.0,3.0,1
2019-04-11,English,movie,Fantastic Beasts: The Crimes of Grindelwald,"David Yates, Johnny Depp",3.0,3.0,1
2019-04-10,English,movie,A Walk in the Tombstones,Liam Neeson,3.0,3.0,1
2019-04-09,Tamil,movie,Viswasam,"Ajith, Nayantara",4.0,4.0,3
2019-04-07,English,movie,Equalizer 2,Denzel Washington,2.0,2.0,1
2019-04-07,Telugu,movie,MLA,Unknown,2.0,2.0,1
2019-04-07,Tamil,movie,Sandakozhi 2,"Vishal, Raj Kiran",2.0,2.0,1
2019-04-06,English,movie,Get Out,Unknown,3.0,3.0,1
2019-04-06,English,movie,The Incredibles 2,Unknown,3.0,4.0,2
2019-03-28,Telugu,movie,Kotha Janta,"Allu Sirish, Regina Cassandra",2.0,3.0,1
2019-03-24,Hindi,movie,Uri,Vicky Kaushal,3.0,3.0,1
2019-03-23,Tamil,movie,Dev,"Karthi, Rakul Preet Singh",3.0,3.0,1
2019-03-18,English,movie,The  King of Thieves,Michael Caine,2.0,2.0,1
2019-03-18,English,movie,Destination Wedding,"Keanu Reeves,  Winona Ryder",3.0,3.0,1
2019-03-17,English,movie,Deadpool,Ryan Reynolds,3.0,3.0,1
2019-03-16,English,movie,Aquaman,Jason  Momoa,4.0,4.0,1
2019-03-16,Tamil,movie,Yatchan,Arya,3.0,3.0,1
2019-03-15,Tamil,movie,Viswasam,"Ajith, Nayantara",4.0,4.0,3
2019-03-14,Telugu,movie,Aravinda Sametha Veera Raghava,"Jr NTR, Pooja Hegde",4.0,4.0,2
2019-03-13,Telugu,movie,Raju Gadu,"Raj Tarun, Amyra Dastur",2.0,2.0,1
2019-03-10,Tamil,movie,Adanga Maru,Jayam Ravi,3.0,3.0,1
2019-03-09,Tamil,movie,Mr Chandramouli,"Gautam Karthik, Regina Cassandra, Karthik",3.0,3.0,1
2019-03-03,Hindi,movie,Gully Boy,Ranveer Singh,4.0,4.0,1
2019-02-25,Telugu,movie,Fidaa,"Shekar Kammula, Varun Tej, Sai Pallavi",5.0,5.0,2
2019-02-24,Hindi,movie,Guzarish,"Hritik Roshan, Aishwarya Rai",3.0,4.0,1
2019-02-24,Tamil,movie,Orange Mittai,Vijay Sethupathi,3.0,4.0,1
2019-02-22,Telugu,movie,Vinaya Vidheya Rama,Ram Charan Teja,1.0,1.0,1
2019-02-22,Tamil,movie,Petta,Rajnikanth,3.0,3.0,2
2019-02-20,Telugu,movie,Bangaram,Pawan Kalyan,2.0,2.0,1
2019-02-19,Telugu,movie,Balu ABCDEFG,Pawan Kalyan,2.0,3.0,1
2019-02-17,Tamil,movie,Nipunan,"Arjun, Prasanna, Varalaxmi",3.0,4.0,1
2019-02-16,Hindi,movie,Ek Mein Aur Ek Tu,"Imran Khan, Kareena Kapoor",3.0,3.0,1
2019-02-15,Telugu,movie,Arunachalam,Rajnikanth,3.0,3.0,2
2019-02-12,English,movie,Deja Vu,Denzel Washington,3.0,3.0,2
2019-02-10,Telugu,movie,Nela Ticket,Ravi Teja,2.0,2.0,1
2019-02-09,English,TV series,Designated Survivor S02E22,Kiefer Sutherland,3.0,3.0,1
2019-02-09,English,TV series,Designated Survivor S02E21,Kiefer Sutherland,3.0,3.0,1
2019-02-09,English,TV series,Designated Survivor S02E20,Kiefer Sutherland,3.0,3.0,1
2019-02-09,English,TV series,Designated Survivor S02E19,Kiefer Sutherland,3.0,3.0,1
2019-02-09,English,TV series,Designated Survivor S02E18,Kiefer Sutherland,3.0,3.0,1
2019-02-09,English,TV series,Designated Survivor S02E17,Kiefer Sutherland,3.0,3.0,1
2019-02-08,Hindi,movie,Tanu Weds Manu Returns,"Madhavan, Kangana Ranaut",3.0,4.0,1
2019-02-08,English,TV series,Designated Survivor S02E16,Kiefer Sutherland,3.0,3.0,1
2019-02-08,English,TV series,Designated Survivor S02E15,Kiefer Sutherland,2.0,2.0,1
2019-02-07,Hindi,movie,Raees,Shah Rukh Khan,3.0,3.0,1
2019-02-06,English,TV series,Designated Survivor S02E14,Kiefer Sutherland,2.0,2.0,1
2019-02-05,English,TV series,Designated Survivor S02E13,Kiefer Sutherland,2.0,2.0,1
2019-02-03,English,TV series,Designated Survivor S02E12,Kiefer Sutherland,3.0,3.0,1
2019-02-03,English,TV series,Designated Survivor S02E11,Kiefer Sutherland,3.0,3.0,1
2019-02-02,Telugu,movie,Oohalu Gusagusalade,"Naga Shaurya, Rashi Khanna",2.0,3.0,1
2019-02-01,Telugu,movie,Kandireega,"Ram, Hansika",2.0,2.0,1
2019-01-31,English,TV series,Designated Survivor S02E10,Kiefer Sutherland,3.0,3.0,1
2019-01-30,English,TV series,Designated Survivor S02E09,Kiefer Sutherland,3.0,3.0,1
2019-01-29,English,TV series,Designated Survivor S02E08,Kiefer Sutherland,3.0,3.0,1
2019-01-27,English,TV series,Designated Survivor S02E07,Kiefer Sutherland,3.0,3.0,1
2019-01-26,English,TV series,Designated Survivor S02E06,Kiefer Sutherland,3.0,3.0,1
2019-01-26,Hindi,movie,Jolly LLB 2,"Akshay Kumar, Annu Kapoor",3.0,3.0,1
2019-01-26,Hindi,movie,Andhadhun,"Ayushmann Khurrana, Tabu",4.0,4.0,1
2019-01-25,English,TV series,Designated Survivor S02E05,Kiefer Sutherland,3.0,3.0,1
2019-01-24,English,TV series,Designated Survivor S02E04,Kiefer Sutherland,3.0,3.0,1
2019-01-22,English,TV series,Designated Survivor S02E03,Kiefer Sutherland,3.0,3.0,1
2019-01-22,Telugu,movie,Rama Rama Krishna Krishna,"Ram, Arjun",2.0,2.0,1
2019-01-21,Tamil,movie,Chekka Chivantha Vaanam,"Vijay Sethupathi, Arvind Swamy, Mani Ratnam",3.0,3.0,1
2019-01-21,Hindi,movie,Tanu Weds Manu,"Madhavan, Kangana Ranaut",4.0,4.0,2
2019-01-21,Telugu,movie,Endukante Premanta,"Ram, Tamanna",2.0,3.0,1
2019-01-20,Telugu,movie,Maska,"Ram, Hansika Motwani",2.0,2.0,1
2019-01-20,English,TV series,Designated Survivor S02E02,Kiefer Sutherland,3.0,3.0,1
2019-01-19,English,TV series,Designated Survivor S02E01,Kiefer Sutherland,3.0,3.0,1
2019-01-17,English,TV series,Designated Survivor S01E21,Kiefer Sutherland,3.0,4.0,1
2019-01-17,English,TV series,Designated Survivor S01E20,Kiefer Sutherland,3.0,3.0,1
2019-01-16,English,TV series,Designated Survivor S01E19,Kiefer Sutherland,3.0,3.0,1
2019-01-16,Telugu,movie,Ongole Gitta,"Ram, Prakash Raj",2.0,2.0,1
2019-01-15,Tamil,movie,Saamy 2,"Vikram, Keerthi Suresh",2.0,2.0,1
2019-01-15,English,TV series,Designated Survivor S01E18,Kiefer Sutherland,3.0,3.0,1
2019-01-14,English,TV series,Designated Survivor S01E17,Kiefer Sutherland,3.0,3.0,1
2019-01-13,Telugu,movie,"Ganesh, Just Ganesh","Ram, Kajal Agarwal",2.0,2.0,1
2019-01-13,English,movie,London Has Fallen,"Gerard Butler, Aaron Eckhart",3.0,3.0,1
2019-01-13,English,TV series,Designated Survivor S01E16,Kiefer Sutherland,3.0,3.0,1
2019-01-12,Telugu,movie,Subramanyam for Sale,"Sai Dharam Tej, Regina Cassandra",3.0,3.0,1
2019-01-12,English,TV series,Designated Survivor S01E15,Kiefer Sutherland,3.0,3.0,1
2019-01-11,English,TV series,Designated Survivor S01E14,Kiefer Sutherland,3.0,3.0,1
2019-01-10,Telugu,movie,Shivam,"Ram, Rashi Khanna",2.0,3.0,1
2019-01-09,English,TV series,Designated Survivor S01E13,Kiefer Sutherland,3.0,3.0,1
2019-01-08,Tamil,movie,Gethu,"Udhayanidhi Stalin, Sathyaraj",2.0,2.0,1
2019-01-07,English,TV series,Designated Survivor S01E12,Kiefer Sutherland,3.0,4.0,1
2019-01-06,Telugu,movie,Jagadam,"Ram, Isha",2.0,2.0,1
2019-01-06,English,TV series,Designated Survivor S01E11,Kiefer Sutherland,3.0,3.0,1
2019-01-05,English,movie,Fantastic Beasts and Where To Find Them,David Yates,3.0,3.0,1
2019-01-05,English,TV series,Designated Survivor S01E10,Kiefer Sutherland,3.0,4.0,1
2019-01-04,English,TV series,Designated Survivor S01E09,Kiefer Sutherland,3.0,4.0,1
2019-01-02,English,TV series,Designated Survivor S01E08,Kiefer Sutherland,3.0,3.0,1
2019-01-01,English,TV series,Designated Survivor S01E07,Kiefer Sutherland,3.0,4.0,1
2018-12-31,English,TV series,Designated Survivor S01E06,Kiefer Sutherland,3.0,3.0,1
2018-12-29,English,TV series,Designated Survivor S01E05,Kiefer Sutherland,3.0,3.0,1
2018-12-28,English,TV series,Designated Survivor S01E04,Kiefer Sutherland,2.0,2.0,1
2018-12-27,English,TV series,Designated Survivor S01E04,Kiefer Sutherland,3.0,3.0,1
2018-12-26,English,TV series,Designated Survivor S01E02,Kiefer Sutherland,3.0,3.0,1
2018-12-25,English,TV series,Designated Survivor S01E01,Kiefer Sutherland,3.0,3.0,1
2018-12-25,Tamil,movie,Puli Murugan,Mohanlal,3.0,3.0,1
2018-12-24,Telugu,movie,Supreme,"Sai Dharam Tej, Rashi Khanna",2.0,2.0,1
2018-12-22,Tamil,movie,Venghai,"Dhanush, Tamanna, Raj Kiran",3.0,3.0,2
2018-12-18,Tamil,movie,Meagamann,"Arya, Hansika",3.0,4.0,1
2018-12-18,Telugu,movie,Savyasachi,"Naga Chaitanya, Madhavan",2.0,3.0,1
2018-12-16,Tamil,movie,Kadugu,Bharath,3.0,4.0,1
2018-12-16,Telugu,movie,Hello Guru Prema Kosam,"Ram, Prakash Raj",2.0,3.0,1
2018-12-15,Tamil,movie,Kolamavu Kokila,Nayantara,3.0,3.0,2
2018-12-15,Telugu,movie,Amar Akbar Antony,"Ravi Teja, Ileana",2.0,2.0,1
2018-12-12,Tamil,movie,Thodari,"Dhanush, Keerthi Suresh",3.0,3.0,1
2018-12-07,Telugu,movie,Dwaraka,"Vijay Devarakonda, Pooja Jhaveri",2.0,2.0,1
2018-12-07,Telugu,movie,Geeta Govindam,"Vijay Devarakonda, Rashmita",4.0,4.0,2
2018-12-02,Tamil,movie,Irumbu Thirai,"Vishal, Arjun, Samantha",3.0,4.0,1
2018-11-26,Telugu,movie,Konjam  Ishtam Konjam  Kashtam,"Sidharth, Tamanna",2.0,3.0,1
2018-11-23,Telugu,movie,Rabhasa,"Jr NTR, Samantha",3.0,3.0,1
2018-11-21,Telugu,movie,Intelligent,"Sai Dharam Tej, Lavanya Tripathi",2.0,2.0,1
2018-11-20,Tamil,movie,Seema Raja,"Sivakarthikeyan, Samantha",3.0,3.0,2
2018-11-18,Tamil,movie,Kathi Sandai,Vishal,2.0,2.0,1
2018-11-16,Telugu,movie,Rangasthalam,Ram Charan Teja,3.0,4.0,1
2018-11-11,Tamil,movie,Sarkar,Vijay,2.0,3.0,1
2018-11-10,Tamil,movie,Visharoopam 2,Kamal Hassan,2.0,2.0,1
2018-11-08,Telugu,movie,NOTA,"Vijay Devarakonda, Mehreen Pirzada",2.0,2.0,1
2018-11-07,Tamil,movie,Pariyerum Perumal,"Kathir, Anandhi",4.0,4.0,1
2018-11-06,Tamil,movie,96,"Vijay Sethupathi, Trisha",4.0,4.0,2
2018-11-04,Tamil,movie,Ratsasan,"Vishnu Vishal, Amala Paul",3.0,4.0,1
2018-11-03,Tamil,movie,Imaikka Nodigal,"Nayantara, Atharva, Anurag Kashyap",4.0,4.0,1
2018-11-01,Hindi,movie,Khoobsurat,"Fawad Khan, Sonam Kapoor",3.0,3.0,2
2018-11-01,Telugu,movie,Ramayya Vasthavayya,"Jr NTR, Samantha, Shruti Hassan",2.0,2.0,1
2018-10-28,Telugu,movie,Pratinidhi,Nara Rohit,2.0,3.0,1
2018-10-23,Telugu,movie,Pandaga Chesko,"Ram, Rakul Preet Singh",2.0,2.0,1
2018-10-22,Telugu,movie,Hyper,"Ram Pothineni, Rashi Khanna",2.0,2.0,1
2018-10-21,Telugu,movie,Shatamanam Bhavati,"Sharwanand, Anupama",2.0,2.0,1
2018-10-21,English,movie,Upgrade,Logan Marshall-Green,2.0,2.0,1
2018-10-21,Hindi,movie,Rab Ne Bana Di Jodi,"Shah Rukh Khan, Anushka Sharma",4.0,3.0,3
2018-10-10,Telugu,movie,Goodachari,"Adivi Sesh, Jagapati Babu",3.0,3.0,1
2018-10-02,Telugu,movie,Srinivasa Kalyanam,"Nitin,  Rashi Khanna",2.0,3.0,1
2018-09-30,Telugu,movie,Chalo,"Naga Shaurya, Rashmika",2.0,2.0,1
2018-09-22,English,movie,Anon,Clive Owen,2.0,2.0,1
2018-09-22,Hindi,movie,Newton,Rajkummar Rao,3.0,4.0,1
2018-09-22,Hindi,movie,Raid,Ajay Devgan,3.0,3.0,1
2018-09-22,English,movie,Runner Runner,Ben Affleck,2.0,3.0,1
2018-09-22,English,movie,Tinker Tailor Soldier Spy,"Gary Oldman, Colin Firth, Benedict Cumberbatch",2.0,3.0,1
2018-09-22,English,movie,The Commuter,Liam Neeson,3.0,3.0,2
2018-09-05,English,fiction,Clockwork Angel,Cassandra Clare,2.0,2.0,1
2018-09-05,English,movie,Solo,Alden Ehrenreich,3.0,4.0,1
2018-09-05,Hindi,movie,When Harry Met Sejal,"Shah Rukh Khan, Anushka Sharma",3.0,3.0,1
2018-09-05,English,movie,Den of Thieves,Gerard Butler,2.0,2.0,1
2018-09-05,English,movie,Black Panther,Chadwick Boseman,4.0,4.0,1
2018-09-03,Telugu,movie,Sasirekha Parinayam,"Tarun, Genelia",3.0,3.0,1
2018-09-03,Telugu,movie,Nenunnanu,"Nagarjuna, Shriya Saran",2.0,2.0,1
2018-08-29,Telugu,movie,Jai Lava Kusa,"Jr NTR, Rashi Khanna, Nivedha Thomas",2.0,2.0,1
2018-08-28,Telugu,movie,Agnyathavasi,Pawan Kalyan,2.0,2.0,1
2018-08-26,English,movie,Ready Player One,Steven Spielberg,4.0,5.0,1
2018-08-25,Telugu,movie,Rajadhi Raja,"Cheran, Sharwanand, Nithya Menen",2.0,2.0,1
2018-08-24,Tamil,movie,Kutty,"Dhanush, Shriya",2.0,3.0,1
2018-08-22,Telugu,movie,Yuddham Sharanam,"Naga Chaitanya, Lavanya Tripathi",2.0,3.0,1
2018-08-22,Telugu,movie,Srirastu  Subhamastu,"Allu Sirish, Lavanya Tripathi",2.0,3.0,1
2018-08-18,English,fiction,Mitosis,Brandon Sanderson,2.0,2.0,2
2018-08-16,English,fiction,Calamity,Brandon Sanderson,2.0,2.0,2
2018-08-15,English,movie,Avengers: Infinity War,"Robert Downey Jr, Chris Evans, Samuel Jackson",4.0,4.0,1
2018-08-14,Tamil,movie,Kadaikkutti Singam,Karthi,3.0,4.0,1
2018-08-10,English,fiction,Firefight,Brandon Sanderson,2.0,2.0,2
2018-08-08,Tamil,movie,Nimir,"Priyadarshan, Udhayanidhi Stalin",3.0,4.0,1
2018-08-06,Telugu,movie,Malli Malli Idi Rani Roju,"Sharwanand, Nithya Menen",3.0,3.0,1
2018-07-30,Telugu,movie,Nenu Na Rakshasi,"Rana Daggubati, Ileana",2.0,3.0,1
2018-07-28,English,fiction,Steelheart,Brandon Sanderson,3.0,3.0,2
2018-07-20,English,fiction,Arcanum Unbounded,Brandon Sanderson,2.0,2.0,1
2018-07-14,Telugu,movie,Middle Class Abbayi,"Nani, Sai Pallavi, Bhumika",3.0,3.0,2
2018-07-12,English,movie,Geostorm,Gerard Butler,3.0,3.0,1
2018-07-11,Telugu,movie,Officer,"Nagarjuna, Ram Gopal Verma",3.0,3.0,1
2018-07-10,Telugu,movie,Legend,Balakrishna,1.0,1.0,1
2018-07-08,Telugu,movie,Mister,"Varun Tej, Lavanya Tripathi",2.0,2.0,2
2018-07-07,Hindi,movie,Sanju,Ranbir Kapoor,4.0,4.0,2
2018-07-02,English,movie,Men in Black,"Will Smith, Tommy Lee Jones",3.0,3.0,2
2018-07-01,English,movie,Shooter,Mark Walhberg,3.0,3.0,2
2018-06-30,English,movie,The Sentinel,"Michael Douglas, Keiffer Sutherland",3.0,3.0,1
2018-06-28,English,fiction,Tower of Dawn,Sarah J Maas,2.0,2.0,1
2018-06-24,English,movie,The Longest Yard,Adam Sandler,2.0,2.0,1
2018-06-24,English,movie,Under Siege 2,Steven Seagal,2.0,2.0,1
2018-06-23,English,movie,Ocean's Eleven,"George Clooney, Brad Pitt",3.0,3.0,2
2018-06-22,Telugu,movie,Raja The Great,"Ravi Teja, Mehreen Pirzada",3.0,3.0,1
2018-06-21,English,movie,Under Siege,Steven Seagal,3.0,3.0,2
2018-06-18,English,movie,The Negotiator,"Samuel Jackson, Kevin Spacey",3.0,3.0,1
2018-06-16,Telugu,movie,Kanche,Varun Tej,2.0,2.0,1
2018-06-14,English,fiction,Empire of Storms,Sarah J Maas,2.0,2.0,1
2018-06-06,English,fiction,Queen of Shadows,Sarah J Maas,3.0,3.0,1
2018-06-05,English,movie,Get Smart,"Steve Carell, Anne Hathaway",2.0,2.0,1
2018-05-27,English,movie,Jumper,Unknown,2.0,3.0,1
2018-05-27,English,movie,Blade Runner 2049,Unknown,3.0,3.0,1
2018-05-26,English,movie,Money Monster,"George Clooney, Julia Roberts",4.0,4.0,1
2018-05-19,Hindi,movie,Dear Zindagi,Unknown,3.0,3.0,1
2018-05-12,Telugu,movie,Arjun Reddy,Unknown,3.0,4.0,1
2018-05-10,Telugu,movie,Fidaa,"Shekar Kammula, Varun Tej, Sai Pallavi",5.0,5.0,2
2018-05-09,Telugu,movie,Doosukeltha,Unknown,2.0,2.0,1
2018-05-08,Hindi,movie,Hasee To Phasee,"Sidharth Malhotra, Parineeti Chopra",3.0,4.0,1
2018-05-06,Hindi,movie,Meri Brother Ki Dulhan,"Imran Khan, Katrina Kaif",2.0,2.0,2
2018-04-29,Telugu,movie,Bharath Ane Nenu,Mahesh Babu,3.0,3.0,1
2018-04-28,English,fiction,Oathbringer,Brandon Sanderson,4.0,4.0,2
2018-04-25,Malayalam,movie,His Highness Abdullah,"Mohanlal, Nedumudi Venu",3.0,3.0,1
2018-04-15,Hindi,movie,Tiger Zinda Hai,"Salman Khan, Katrina Kaif",3.0,3.0,1
2018-04-14,English,fiction,Heir of Fire,Sarah J Maas,3.0,3.0,1
2018-04-10,Telugu,movie,Oosaravelli,"Jr NTR, Tamanna",2.0,3.0,1
2018-04-08,Hindi,movie,Ek Tha Tiger,"Salman Khan, Katrina Kaif",3.0,3.0,1
2018-04-07,Telugu,movie,Touch Chesi Choodu,Ravi Teja,2.0,2.0,1
2018-04-01,Tamil,movie,Gulebaghavali,"Prabhudeva, Hansika, Revathi",3.0,3.0,1
2018-03-31,English,fiction,Crown of Midnight,Sarah J Maas,2.0,2.0,1
2018-03-24,English,movie,The Big Short,Unknown,3.0,3.0,1
2018-03-17,Tamil,movie,Mersal,"Vijay, SJ Surya",2.0,2.0,1
2018-03-17,Tamil,movie,Per Sollum Pillai,"Kamal  Hassan, K R Vijaya",2.0,2.0,1
2018-03-16,Tamil,movie,Oru Oorula Rajakumari,"K Bhagyaraj, Meena",3.0,3.0,2
2018-03-15,Tamil,movie,Thegidi,Unknown,3.0,3.0,2
2018-03-11,English,movie,Wonder Woman,Unknown,3.0,3.0,2
2018-03-10,Tamil,movie,Velainu Vandhutta Vellaikaaran,"Vishnu Vishal, Nikka Galrani",3.0,3.0,1
2018-03-05,English,fiction,Throne of Glass,Sarah J Maas,2.0,2.0,1
2018-02-21,Tamil,movie,Sketch,"Vikram, Tamanna",3.0,3.0,1
2018-02-18,Telugu,movie,A Aa,"Nithin, Samantha",3.0,3.0,1
2018-02-17,Telugu,movie,Heart Attack,"Nithin, Adah Sharma, Puri Jagannath",2.0,2.0,1
2018-02-15,Telugu,movie,Dohchay,"Naga Chaitanya, Kriti Sanon",2.0,2.0,1
2018-02-14,English,movie,American Made,Tom Cruise,3.0,4.0,1
2018-02-11,English,movie,King Arthur: Legend of the Sword,Unknown,3.0,3.0,1
2018-02-10,English,movie,Thor: Ragnarok,Unknown,3.0,4.0,2
2018-02-07,Tamil,movie,Vedikkai En Vadikkai,"Visu, Poornam Viswanathan",3.0,3.0,2
2018-02-04,Hindi,movie,Padmaavat,Unknown,4.0,4.0,1
2018-02-02,Tamil,movie,April Maadhathil,"Srikanth, Sneha",3.0,3.0,2
2018-01-31,Tamil,movie,Ramana,Vijaykanth,3.0,3.0,1
2018-01-20,Tamil,movie,Thaana Sendha Koottam,"Surya, Ramya Krishnan",3.0,3.0,1
2018-01-08,Tamil,movie,Neruppu Da,"Vikram Prabhu, Nikki Galrani",3.0,3.0,1
2018-01-07,Tamil,movie,Ippadai Vellum,"Udhayanidhi Stalin, Soori",3.0,3.0,2
2018-01-07,Telugu,movie,Sainikudu,Unknown,2.0,2.0,1
2017-12-25,Tamil,movie,Dheeran Adhigaram Ondru,Unknown,3.0,4.0,1
2017-12-20,Telugu,movie,LIE,"Nitin, Megha Akash, Srikanth",3.0,3.0,2
2017-12-15,Telugu,movie,Nenu Sailaja,"Ram Pothineni, Keerthi Suresh",3.0,3.0,2
2017-12-11,English,movie,Spiderman:  Homecoming,Tom Holland,3.0,4.0,2
2017-12-05,Telugu,movie,Anand,Shekar Kammula,3.0,4.0,2
2017-11-24,Telugu,movie,Nene Raju Nene Mantri,"Rana Dagubatti, Kajal Aggarwal",3.0,3.0,1
2017-11-05,Tamil,movie,Spyder,"Mahesh Babu, SJ Surya",3.0,3.0,1
2017-11-03,Telugu,movie,Indra,"Chiranjeevi, Sonali Bendre, Anu Agarwal",2.0,2.0,1
2017-11-02,Telugu,movie,Duvvada Jagannadham,Allu Arjun,2.0,2.0,1
2017-10-30,Telugu,movie,Raarandoi Veduka Chuddam,"Naga  Chaitanya, Rakul Preet Singh",2.0,2.0,1
2017-10-28,Tamil,movie,Thuparivaalan,"Mysskin, Vishal, Prasanna",3.0,4.0,1
2017-10-28,Telugu,movie,Nenu Local,"Nani, Keerthi Suresh",3.0,3.0,1
2017-10-19,Telugu,movie,Kick 2,"Ravi Teja, Rakul Preet Singh",2.0,2.0,1
2017-10-14,English,movie,Unlocked,"Noomi Raplace, Orlando Bloom, Michael Douglas",3.0,3.0,1
2017-09-29,English,movie,Guardians of the Galaxy 2,Unknown,3.0,3.0,1
2017-09-29,Telugu,movie,Drona,"Nitin, Priya Mani",1.0,1.0,1
2017-09-24,Telugu,movie,Cameraman Gangatho Rambabu,"Pawan Kalyan, Tamanna",2.0,3.0,2
2017-09-21,Telugu,movie,Bengal Tiger,"Ravi  Teja, Tamanna",2.0,2.0,1
2017-09-19,Telugu,movie,Anjaneyulu,"Ravi Teja, Nayantara",2.0,2.0,1
2017-09-16,Telugu,movie,Oka  Laila Kosam,Unknown,2.0,2.0,1
2017-09-10,English,TV series,House of Cards S02,Unknown,3.0,3.0,1
2017-09-02,English,TV series,House of Cards S01,Unknown,3.0,3.0,1
2017-08-20,Tamil,movie,Rajini Murugan,Unknown,3.0,3.0,2
2017-08-19,Tamil,movie,8 Thottakkal,Unknown,3.0,4.0,1
2017-08-19,English,fiction,Words of Radiance,Brandon Sanderson,4.0,4.0,2
2017-08-07,English,fiction,The Way of Kings,Brandon Sanderson,4.0,4.0,2
2017-08-05,Tamil,movie,Vikram Vedha,"Madhavan, Vijay Sethupathi",5.0,5.0,2
2017-08-02,English,fiction,Elantris,Brandon Sanderson,3.0,3.0,2
2017-07-10,Tamil,movie,Pa Paandi,Unknown,3.0,3.0,2
2017-06-20,Telugu,movie,Loafer,Unknown,2.0,2.0,1
2017-06-15,Telugu,movie,Thoofan,"Ram Charan Teja, Priyanka Chopra",2.0,2.0,1
2017-06-10,English,movie,xXx: State of the Union,Unknown,2.0,3.0,1
2017-06-07,English,movie,xXx,Unknown,2.0,3.0,1
2017-06-05,Telugu,movie,Aatadista,"Nithin, Kajal Agarwal",2.0,2.0,1
2017-06-04,Telugu,movie,Magadheera,"Ram Charan Teja, Kajal Aggarwal",4.0,4.0,2
2017-06-03,Telugu,movie,Pandaga Chesko,"Ram, Rakul Preet Singh",2.0,2.0,1
2017-05-28,English,TV series,Sherlock: S04E03,"Benedict Cumberbatch, Martin Freeman",4.0,4.0,1
2017-05-28,English,TV series,Sherlock: S04E02,"Benedict Cumberbatch, Martin Freeman",4.0,4.0,1
2017-05-27,Telugu,movie,Ek Niranjan,"Prabhas, Kangana Ranaut",2.0,2.0,1
2017-05-21,Tamil,movie,Kavan,"Vijay Sethupathi, Madonna Sebastian",3.0,4.0,2
2017-05-07,Tamil,movie,Bahubali 2,"Prabhas, Anushka",4.0,4.0,1
2017-04-28,Telugu,movie,Pilla Zamindar,Nani,2.0,2.0,1
2017-04-28,Tamil,movie,Kutram 23,Arun Vijay,3.0,4.0,2
2017-04-28,Telugu,movie,Athadu,"Mahesh Babu, Trisha",3.0,3.0,2
2017-04-24,Telugu,movie,Jalsa,"Pawan Kalyan, Ileana",2.0,2.0,1
2017-04-21,English,movie,Inferno,Tom Hanks,3.0,3.0,1
2017-04-18,Tamil,movie,Katru Veliyidai,Karthi,2.0,2.0,1
2017-04-14,Telugu,movie,Devudu Chesina Manushula,"Ravi Teja, Ileana",2.0,2.0,1
2017-04-14,English,movie,Rogue One,Unknown,3.0,3.0,2
2017-04-13,Telugu,movie,Ishq,"Nitin, Nithya Menen",3.0,3.0,2
2017-04-13,Telugu,movie,Yevade Subramanyam,Nani,2.0,2.0,1
2017-04-13,Telugu,movie,Dohchay,"Naga Chaitanya, Kriti Sanon",2.0,2.0,1
2017-04-11,English,movie,The International,Clive Owen,3.0,3.0,2
2017-04-04,English,movie,The Great Wall,Unknown,2.0,2.0,1
2017-03-31,English,TV series,Sherlock: S04E01,"Benedict Cumberbatch, Martin Freeman",4.0,4.0,1
2017-03-29,Telugu,movie,Gentleman,Nani,3.0,3.0,2
2017-03-26,English,movie,John Wick,Keanu Reeves,3.0,3.0,1
2017-03-25,Telugu,movie,Brahmotsavam,"Mahesh Babu, Samantha, Kajal Agarwal",2.0,3.0,1
2017-03-24,English,movie,xXx: The Rise of Xander Cage,Unknown,2.0,3.0,1
2017-03-19,Tamil,movie,Onaayum Aattukkuttiyum,Mysskin,4.0,5.0,1
2017-03-19,Telugu,movie,Majnu,"Nani, Anu Emmanuel",3.0,3.0,2
